Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
resnet50,0.5782,0.7282,0.5976,0.5960,0.7153,0.6750,0.7282,0.4210,0.7427,0.6425
resnet101,0.6266,0.6694,0.7871,0.6621,0.6331,0.6000,0.6621,0.5137,0.6177,0.6413
densenet121,0.8589,0.5000,0.8371,0.8177,0.7565,0.6839,0.8677,0.8516,0.8589,0.7814
densenet169,0.8177,0.8444,0.8048,0.8177,0.7726,0.8500,0.8355,0.7944,0.8339,0.8190
vgg16,0.9089,0.8927,0.6589,0.8016,0.7226,0.8250,0.8516,0.9089,0.8927,0.8292
vgg19,0.7855,0.8605,0.6177,0.7460,0.7903,0.7516,0.8355,0.8516,0.8516,0.7878
alexnet,0.8927,0.9089,0.6121,0.8839,0.6597,0.7839,0.9339,0.7589,0.8677,0.8113
resnext50_32x4d,0.6694,0.7855,0.6315,0.6121,0.6242,0.6677,0.7532,0.5000,0.7750,0.6687
resnext101_32x8d,0.6944,0.8516,0.7226,0.7855,0.7048,0.6750,0.8266,0.6532,0.8750,0.7543
shufflenet_v2_x1_0,0.8266,0.9000,0.6339,0.7298,0.7637,0.7839,0.9089,0.9000,0.8750,0.8135
mobilenet_v2,0.7339,0.6452,0.6250,0.6782,0.5992,0.5839,0.8177,0.7839,0.6000,0.6741
mnasnet0_5,0.8516,0.7839,0.6000,0.6782,0.7016,0.7089,0.8589,0.8589,0.6839,0.7473
vit_base_patch16_224,0.9750,0.9750,0.8944,0.9355,0.8371,0.9500,0.9750,0.9339,0.9750,0.9390
vit_base_patch32_224,0.9177,0.9339,0.8460,0.9589,0.9032,0.9589,0.9016,0.9339,0.9589,0.9237
vit_large_patch16_224,0.9500,0.8839,0.8460,0.8355,0.7766,0.9000,0.9750,0.9750,0.9500,0.8991
vit_small_patch32_224,0.9427,0.9750,0.9105,0.9105,0.8944,0.9589,0.9500,0.9589,0.9750,0.9418
deit3_small_patch16_224,0.8589,0.8766,0.7032,0.8177,0.7565,0.8250,0.9427,0.7427,0.8927,0.8240
vit_base_patch8_224,0.8839,0.9500,0.8782,0.8677,0.9105,0.9250,0.9339,0.9339,0.9500,0.9148
vit_tiny_patch16_224,0.9250,0.9750,0.8944,0.8339,0.9032,0.9000,0.8516,0.9427,0.9500,0.9084
vit_small_patch16_224,0.9500,0.9750,0.8282,0.9839,0.9355,0.9250,0.9339,0.9750,0.9750,0.9424
vit_base_patch16_384,0.9589,0.9339,0.9032,0.9427,0.9177,0.9250,0.9750,0.9339,0.9339,0.9360
vit_tiny_patch16_384,0.8677,0.9339,0.8032,0.8266,0.8460,0.9250,0.8194,0.9339,0.9339,0.8766
vit_small_patch32_384,0.8589,0.9589,0.9089,0.7855,0.9105,0.9000,0.9355,0.9339,0.9177,0.9011
vit_small_patch16_384,0.9500,0.9750,0.8766,0.8605,0.9089,0.9250,0.9177,0.9589,1.0000,0.9303
vit_base_patch32_384,0.9250,0.9250,0.8137,0.8750,0.8694,0.9250,0.9750,0.9339,0.9339,0.9084
Average,0.8483,0.8656,0.7694,0.8097,0.7925,0.8213,0.8786,0.8355,0.8728,
