Model,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF
resnet50,0.86,0.76,0.8,0.7,0.62,0.82,0.64,0.82
resnet101,0.86,0.86,0.76,0.78,0.68,0.88,0.66,0.8
densenet121,0.9,0.86,0.84,0.88,0.78,0.9,0.88,0.86
densenet169,0.92,0.86,0.78,0.84,0.82,0.88,0.86,0.86
vgg16,0.86,0.74,0.86,0.78,0.74,0.9,0.88,0.9
vgg19,0.86,0.78,0.84,0.72,0.76,0.88,0.84,0.9
alexnet,0.92,0.8,0.92,0.84,0.8,0.9,0.84,0.9
resnext50_32x4d,0.82,0.78,0.76,0.68,0.64,0.82,0.62,0.74
resnext101_32x8d,0.8,0.78,0.74,0.84,0.64,0.78,0.68,0.84
shufflenet_v2_x1_0,0.86,0.7,0.8,0.82,0.7,0.84,0.84,0.78
mobilenet_v2,0.82,0.68,0.72,0.74,0.66,0.82,0.8,0.72
mnasnet0_5,0.84,0.7,0.86,0.84,0.68,0.88,0.84,0.86
